web-scraper-order,web-scraper-start-url,name,price,image-src
"1536626761-1545","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","1X 3.5mm In-ear For XIAOMI Piston3 Piston III Headset Earbuds Headphone W/Remote","$2.19","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536626761-1600","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","3.5mm In-Ear Earphones Bass Stereo Headphones Headset Earbuds With Microphone","$2.59","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536626761-1660","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","Universal I7S TWS Wireless Earbuds Bluetooth Earphones Headset + Charging Box","$6.28 to $6.64","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536626761-1612","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","3.5mm In-ear Headphone Stereo Earbuds Earphone Headset for Samsung mi iPhone sx","$1.59 to $1.79","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536626761-1490","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","Sweatproof Headphones Wireless Bluetooth Sport Earphones Stereo Headset With Mic","$2.49 to $6.55","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536626761-1474","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","Mini True Wireless Sport Earphones Bluetooth Earbuds Twins In-Ear Stereo Headset","$13.44 to $21.39","https://i.ebayimg.com/thumbs/images/m/mrjGeFVeKaIW59kKMjVZy2A/s-l225.jpg"
"1536626761-1467","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","Cool Bluetooth4.2 Stereo Earphone Headset Wireless Magnetic Earbud For All Phone","$1.13 to $3.79","https://i.ebayimg.com/thumbs/images/m/mpo7I8uCx_UfG5gUMBOHIXQ/s-l225.jpg"
"1536626761-1635","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","Mini Wireless Bluetooth 4.0 Stereo In-Ear Headset Earphone For Universal Phone","$0.76 to $2.50","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536626761-1592","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","Mini Wireless Bluetooth 4.1 Stereo In-Ear Headset Earphone for Samsung iPhone","$2.99 to $3.19","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536626761-1584","https://www.ebay.com/sch/i.html?_from=R40&_trksid=m570.l1313&_nkw=headsets&_sacat=0&LH_TitleDesc=0&_fsrp=1&_osacat=58540&Material=Tempered%2520Glass&_ipg=200","Stereo Piston 3 III In-ear Headphone Earphone Headset With Remote Mic For Xiaomi","$3.36","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
