web-scraper-order,web-scraper-start-url,name,price,image-src
"1536624640-1442","https://www.ebay.com/sch/i.html?_odkw=headsets&_fsrp=1&_osacat=0&_ipg=200&_from=R40&_trksid=m570.l1313&_nkw=phonecovers&_sacat=0","Nillkin Luxury Englon PU Leather Back Phone Covers Cases For Apple iPhone 8 Plus","$8.98","https://i.ebayimg.com/thumbs/images/m/mmvooI74foUNdnm5SlQBOfw/s-l225.jpg"
"1536624640-1414","https://www.ebay.com/sch/i.html?_odkw=headsets&_fsrp=1&_osacat=0&_ipg=200&_from=R40&_trksid=m570.l1313&_nkw=phonecovers&_sacat=0","Vertical Flip Fashion PU Leather Cases Phone Covers Skins For Samsung Galaxy S7","$7.99","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536624640-1435","https://www.ebay.com/sch/i.html?_odkw=headsets&_fsrp=1&_osacat=0&_ipg=200&_from=R40&_trksid=m570.l1313&_nkw=phonecovers&_sacat=0","Vertical Flip Fashion PU Leather Cases Phone Covers For Samsung Galaxy S7 Edge","$7.99","https://i.ebayimg.com/thumbs/images/m/mdWpAZ_G9fWyO8HvcgQvkJg/s-l225.jpg"
"1536624640-1409","https://www.ebay.com/sch/i.html?_odkw=headsets&_fsrp=1&_osacat=0&_ipg=200&_from=R40&_trksid=m570.l1313&_nkw=phonecovers&_sacat=0","For iPhone X 7 8 Plus Case Bling Cute Rainbow Reflective Strap Phone Covers","$6.49","https://i.ebayimg.com/thumbs/images/m/mEqv0wGOFnN3CZnWpChpjdQ/s-l225.jpg"
"1536624640-1390","https://www.ebay.com/sch/i.html?_odkw=headsets&_fsrp=1&_osacat=0&_ipg=200&_from=R40&_trksid=m570.l1313&_nkw=phonecovers&_sacat=0","Phone Covers Pattern Jesus Case For Samsung Galaxy A3 2015 A5 2016 2017 2018","$2.49","https://i.ebayimg.com/thumbs/images/m/msBRHPE8EDV_GHeRQFKbWmw/s-l225.jpg"
"1536624640-1444","https://www.ebay.com/sch/i.html?_odkw=headsets&_fsrp=1&_osacat=0&_ipg=200&_from=R40&_trksid=m570.l1313&_nkw=phonecovers&_sacat=0","Flip Leather Skin Card Slot Phone Covers Case For Samsung Galaxy S4 S IV i9500","$3.63","https://i.ebayimg.com/thumbs/images/m/mXpdngTI0850It7VLnAm8Lg/s-l225.jpg"
"1536624640-1389","https://www.ebay.com/sch/i.html?_odkw=headsets&_fsrp=1&_osacat=0&_ipg=200&_from=R40&_trksid=m570.l1313&_nkw=phonecovers&_sacat=0","Cell Phone Covers for IPhone 6/6s/7/8/X Plaintext Design Top Speech Hard Cases","$3.99","https://i.ebayimg.com/thumbs/images/m/mXrwZHtfyH6pRLWgK9qSybg/s-l225.jpg"
"1536624640-1434","https://www.ebay.com/sch/i.html?_odkw=headsets&_fsrp=1&_osacat=0&_ipg=200&_from=R40&_trksid=m570.l1313&_nkw=phonecovers&_sacat=0","Nillkin Sparkle Flip Matte Leather Window Phone Covers Cases For XIAOMI RedMi 5A","$6.98","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
"1536624640-1446","https://www.ebay.com/sch/i.html?_odkw=headsets&_fsrp=1&_osacat=0&_ipg=200&_from=R40&_trksid=m570.l1313&_nkw=phonecovers&_sacat=0","Magnetic Flip Leather Skins Card Phone Covers Case For Apple iPhone 6 6S 6G 4.7""","$1.89","https://i.ebayimg.com/thumbs/images/m/mhFgaVKl4K7OBsrvi4uwC3g/s-l225.jpg"
"1536624640-1397","https://www.ebay.com/sch/i.html?_odkw=headsets&_fsrp=1&_osacat=0&_ipg=200&_from=R40&_trksid=m570.l1313&_nkw=phonecovers&_sacat=0","NILLKIN Sparkle Flip Matte PU Leather Shockproof  Phone Covers Cases For Nokia 8","$6.99","https://i.ebayimg.com/thumbs/images/m/mqHxzJSIjgOjOkEbn5lf9lA/s-l225.jpg"
"1536624640-1427","https://www.ebay.com/sch/i.html?_odkw=headsets&_fsrp=1&_osacat=0&_ipg=200&_from=R40&_trksid=m570.l1313&_nkw=phonecovers&_sacat=0","Nillkin Sparkle Flip PU Leather Visual Window Phone Covers Cases For HUAWEI Nova","$6.98","https://ir.ebaystatic.com/pictures/aw/pics/s_1x2.gif"
